time,SACR_gyr_x,SACR_gyr_y,SACR_gyr_z,SACR_acc_x,SACR_acc_y,SACR_acc_z,SACR_mag_x,SACR_mag_y,SACR_mag_z
198.5,0.30517578125,-0.30517578125,0.06103515625,0.9614551225318156,-0.0202642902920621,0.261238441114536,-34.125,-0.75,-38.1875
199.0,0.1220703125,-1.46484375,-0.18310546875,0.9659718619342632,0.0048829615161595,0.2191228980376598,-31.3125,-1.0625,-39.0
199.5,0.42724609375,0.8544921875,0.8544921875,0.967680898464919,-0.0163579210791344,0.2663655507065035,-31.3125,-0.375,-32.4375
200.0,-0.42724609375,-0.3662109375,-0.18310546875,0.9614551225318156,-0.0310068056276131,0.2343821527756584,-33.4375,-0.75,-37.375
200.5,0.18310546875,-1.77001953125,-1.15966796875,0.9645069734794152,-0.0068361461226233,0.228034302804651,-33.0625,-0.75,-38.1875
201.0,-2.3193359375,4.150390625,-1.64794921875,0.9643848994415112,-0.0228278450880459,0.2617267372661519,-32.6875,0.0,-36.125
201.5,0.3662109375,0.42724609375,-0.79345703125,0.9632862331003754,-0.0290536210211493,0.2586748863185522,-31.9375,0.0,-39.0625
202.0,1.0986328125,-1.0986328125,-0.48828125,0.9635303811761834,-0.0246589556566057,0.2533036286507767,-34.125,1.5,-37.75
202.5,-0.3662109375,-0.244140625,-2.25830078125,0.954985198522904,0.0010986663411358,0.2367015594958342,-33.8125,1.9375,-38.1875
203.0,2.50244140625,-3.90625,0.91552734375,0.9613330484939115,-0.0314951017792291,0.2453688161870174,-34.125,-1.0625,-36.5625
203.5,-3.41796875,6.4697265625,0.67138671875,0.9619434186834316,-0.021240882595294,0.2235175634022034,-34.125,0.0,-36.5625
204.0,-0.48828125,0.0,-0.18310546875,0.9616992706076236,-0.0166020691549424,0.2476882229071932,-34.125,0.0,-38.1875
204.5,0.06103515625,0.6103515625,-0.06103515625,0.9662160100100712,-0.0239265114291818,0.2448805200354014,-33.8125,0.0,-37.8125
205.0,2.0751953125,0.06103515625,-0.67138671875,0.9638966032898952,-0.0205084383678701,0.2443922238837855,-31.9375,0.0,-34.875
205.5,1.5869140625,-3.0517578125,-1.708984375,0.9690237128818628,0.0045167394024475,0.2286446729941709,-32.6875,-0.75,-36.9375
206.0,-0.48828125,-0.1220703125,0.06103515625,0.9656056398205513,0.0117191076387829,0.2229071932126834,-32.3125,1.5,-38.1875
206.5,-4.39453125,-1.52587890625,2.62451171875,0.9638966032898952,-0.0179448835718863,0.2534257026886807,-33.8125,-0.375,-36.5625
207.0,10.25390625,1.89208984375,0.3662109375,0.9706106753746148,-0.0351573229163487,0.2199774163029877,-32.6875,-0.75,-35.75
207.5,6.591796875,-0.3662109375,0.9765625,0.968169194616535,-0.0448011719107638,0.2216864528336436,-34.5,-1.875,-36.5625
208.0,-0.244140625,-0.42724609375,0.1220703125,0.9690237128818628,-0.0373546555986205,0.2215643787957396,-34.125,-1.0625,-37.8125
208.5,-0.79345703125,0.91552734375,-0.732421875,0.967436750389111,-0.04345835749382,0.2326731162450026,-34.125,-0.75,-33.25
209.0,0.3662109375,-0.1220703125,0.42724609375,0.9687795648060548,-0.0421155430768761,0.2356028931546983,-34.875,-1.875,-39.0625
209.5,-3.23486328125,-0.06103515625,-0.18310546875,0.9710989715262308,-0.0515152439954832,0.2365794854579302,-34.125,1.125,-36.125
210.0,0.0,-0.1220703125,0.6103515625,0.9686574907681508,-0.0296639912106692,0.2329172643208105,-32.6875,-0.75,-37.8125
210.5,4.0283203125,-0.06103515625,0.91552734375,0.9709768974883268,-0.0505386516922513,0.2294991912594988,-33.8125,-1.875,-34.9375
211.0,-0.9765625,0.06103515625,-0.30517578125,0.9704886013367108,-0.0513931699575792,0.227790154728843,-34.5,0.375,-32.875
211.5,-0.06103515625,-0.30517578125,0.0,0.967925046540727,-0.0484633930478835,0.2290108951078829,-35.25,-0.75,-35.3125
212.0,0.1220703125,-0.48828125,0.30517578125,0.9690237128818628,-0.0471205786309396,0.2325510422070986,-33.8125,0.375,-35.75
212.5,-0.6103515625,-0.3662109375,-0.3662109375,0.967802972502823,-0.0516373180333872,0.2268135624256111,-34.125,1.5,-36.9375
213.0,-0.30517578125,1.03759765625,-0.3662109375,0.967925046540727,-0.0549333170567949,0.2222968230231635,-31.9375,-0.375,-39.8125
213.5,1.0986328125,0.6103515625,-0.79345703125,0.967802972502823,-0.0554216132084109,0.2294991912594988,-33.8125,0.375,-36.5625
214.0,0.0,-0.06103515625,-0.06103515625,0.9700003051850948,-0.0551774651326029,0.2291329691457869,-32.3125,0.375,-36.9375
214.5,0.244140625,-0.30517578125,-0.54931640625,0.968169194616535,-0.053712576677755,0.2292550431836909,-33.8125,-1.0625,-39.0
215.0,0.8544921875,-0.30517578125,0.18310546875,0.9718314157536546,-0.0574968718527787,0.2305978576006347,-34.125,2.3125,-37.375
215.5,0.1220703125,-0.30517578125,-0.30517578125,0.968169194616535,-0.0551774651326029,0.2291329691457869,-34.125,0.0,-35.75
216.0,-0.244140625,0.06103515625,0.6103515625,0.9692678609576708,-0.0512710959196752,0.2243720816675313,-33.8125,1.125,-37.75
216.5,0.6103515625,0.6103515625,-0.732421875,0.9710989715262308,-0.053468428601947,0.2367015594958342,-34.875,-0.75,-36.125
217.0,0.1220703125,-0.3662109375,-0.1220703125,0.966460158085879,-0.0502945036164433,0.2233954893642994,-33.8125,-0.375,-37.375
217.5,0.3662109375,-0.244140625,-0.06103515625,0.9691457869197668,-0.0502945036164433,0.2326731162450026,-32.6875,0.0,-39.0
218.0,0.1220703125,-0.30517578125,0.06103515625,0.9696340830713828,-0.0568865016632587,0.2268135624256111,-33.8125,-1.0625,-39.0625
218.5,-0.06103515625,-0.42724609375,-0.30517578125,0.967925046540727,-0.0500503555406353,0.2307199316385387,-35.25,0.0,-33.6875
219.0,0.42724609375,0.06103515625,0.0,0.9731742301705985,-0.053712576677755,0.2297433393353068,-35.25,-1.0625,-37.0
219.5,0.42724609375,-0.79345703125,0.30517578125,0.9686574907681508,-0.0490737632374034,0.2241279335917234,-33.4375,-1.4375,-38.1875
220.0,-0.30517578125,0.48828125,-0.18310546875,0.9682912686544388,-0.0523697622608111,0.2258369701223792,-34.125,0.0,-35.75
220.5,1.220703125,0.0,0.3662109375,0.966582232123783,-0.0555436872463148,0.2271797845393231,-31.9375,0.375,-36.5625
221.0,0.67138671875,-1.3427734375,-1.03759765625,0.9686574907681508,-0.0576189458906827,0.2270577105014191,-33.0625,-2.25,-38.625
221.5,-0.1220703125,2.685546875,-0.42724609375,0.967314676351207,-0.0402844325083162,0.2109439374980926,-32.6875,-0.375,-36.125
222.0,0.8544921875,-1.708984375,-1.46484375,0.955595568712424,-0.0560319833979308,0.2485427411725211,-33.0625,-1.0625,-33.25
222.5,1.89208984375,-4.5166015625,1.0986328125,0.9701223792229988,-0.0358897671437727,0.2650227362895596,-34.5,-1.0625,-34.9375
223.0,-1.03759765625,0.67138671875,0.67138671875,0.9830622272408216,-0.0560319833979308,0.2122867519150364,-34.5,-0.375,-36.9375
223.5,-0.1220703125,0.1220703125,-0.06103515625,0.9739066743980224,-0.0549333170567949,0.2159489730521561,-34.875,-1.875,-35.3125
224.0,0.18310546875,1.3427734375,-0.48828125,0.9698782311471909,-0.053590502639851,0.2075258644367809,-34.5,-0.75,-36.9375
224.5,-1.52587890625,1.15966796875,0.6103515625,0.9729300820947904,-0.0527359843745231,0.2154606769005402,-34.125,-0.375,-37.375
225.0,1.220703125,0.732421875,-0.9765625,0.9690237128818628,-0.0587176122318185,0.2188787499618518,-35.25,0.375,-37.0
225.5,-0.30517578125,-0.30517578125,0.48828125,0.9693899349955748,-0.0571306497390667,0.2181463057344279,-34.5,-1.875,-34.9375
226.0,0.54931640625,-0.67138671875,0.06103515625,0.9686574907681508,-0.0625019074068422,0.2047181615649891,-33.8125,-1.4375,-33.6875
226.5,-1.03759765625,-0.06103515625,-0.18310546875,0.9701223792229988,-0.054200872829371,0.2160710470900601,-34.875,0.0,-34.5
227.0,0.48828125,-0.48828125,0.42724609375,0.9732963042085024,-0.0578630939664906,0.2190008239997558,-34.5,-1.0625,-38.625
227.5,0.0,0.9765625,0.1220703125,0.9712210455641348,-0.0495620593890194,0.2032532731101413,-35.25,-1.4375,-37.375
228.0,-0.48828125,0.42724609375,-0.06103515625,0.9695120090334788,-0.0590838343455305,0.2150944547868282,-34.875,0.0,-36.9375
228.5,0.244140625,0.91552734375,-0.91552734375,0.9671926023133032,-0.0362559892574846,0.2225409710989715,-33.0625,-1.4375,-35.3125
229.0,-1.5869140625,-1.03759765625,-0.48828125,0.9659718619342632,-0.0440687276833399,0.2330393383587145,-33.8125,0.0,-35.75
229.5,0.91552734375,-0.732421875,0.0,0.9641407513657032,-0.0506607257301553,0.2439039277321695,-33.8125,0.75,-36.9375
230.0,-1.708984375,1.15966796875,0.42724609375,0.9671926023133032,-0.053834650715659,0.2507400738547929,-33.4375,0.75,-36.9375
230.5,0.30517578125,-0.1220703125,-0.3662109375,0.9629200109866634,-0.0524918362987151,0.2395092623676259,-31.3125,0.0,-38.625
231.0,0.06103515625,0.0,-0.1220703125,0.966460158085879,-0.0524918362987151,0.239143040253914,-33.8125,0.0,-36.5625
231.5,0.06103515625,0.244140625,-0.18310546875,0.9654835657826472,-0.0546891689809869,0.2410962248603778,-34.5,0.0,-42.25
232.0,0.18310546875,0.244140625,-0.06103515625,0.9658497878963592,-0.0511490218817713,0.2413403729361858,-34.125,-0.75,-35.3125
232.5,0.0,0.06103515625,-0.244140625,0.9649952696310312,-0.0528580584124271,0.238288521988586,-33.4375,-1.0625,-37.8125
233.0,0.244140625,-0.1220703125,-0.18310546875,0.9649952696310312,-0.0523697622608111,0.238532670064394,-31.9375,0.0,-37.375
233.5,0.1220703125,0.0,-0.06103515625,0.967802972502823,-0.0500503555406353,0.2417065950498977,-34.5,-1.4375,-34.5
234.0,0.18310546875,-0.06103515625,0.0,0.9643848994415112,-0.053834650715659,0.2407300027466658,-33.0625,-0.75,-33.6875
234.5,0.1220703125,0.06103515625,-0.1220703125,0.967925046540727,-0.0485854670857875,0.2404858546708578,-35.25,-0.75,-37.0
235.0,6.4697265625,-2.685546875,0.3662109375,0.9630420850245676,-0.0340586565752128,0.227912228766747,-33.0625,-1.875,-38.625
235.5,1.89208984375,0.0,0.54931640625,0.9704886013367108,-0.0478530228583636,0.2450025940733054,-33.0625,-1.0625,-38.625
236.0,0.1220703125,-0.18310546875,0.30517578125,0.9691457869197668,-0.0556657612842188,0.2705160679952391,-34.5,-1.4375,-40.25
236.5,-3.84521484375,2.86865234375,0.42724609375,0.9620654927213356,-0.0571306497390667,0.2199774163029877,-33.8125,-2.25,-36.5625
