time,C7_gyr_x,C7_gyr_y,C7_gyr_z,C7_acc_x,C7_acc_y,C7_acc_z,C7_mag_x,C7_mag_y,C7_mag_z
46.5,-0.79345703125,-6.53076171875,-0.8544921875,-0.9482711264381848,-0.0841090121158482,-0.3050630207220679,21.5,13.0,-16.8125
47.0,5.9814453125,-1.46484375,0.91552734375,-0.978789635914182,-0.0885036774803918,-0.2213202307199316,22.1875,13.6875,-16.8125
47.5,2.5634765625,-10.55908203125,-2.13623046875,-0.9949034089175084,-0.0936307870723593,-0.2215643787957396,21.5,10.6875,-15.5625
48.0,-2.38037109375,-1.03759765625,0.30517578125,-0.977935117648854,-0.1060823389385662,-0.173955504013184,21.875,11.8125,-19.3125
48.5,-11.29150390625,13.5498046875,-2.74658203125,-0.9651173436689352,-0.0699484237189855,-0.2399975585192419,22.5625,13.0,-13.0
49.0,0.18310546875,-4.21142578125,-2.74658203125,-0.9319132053590504,-0.1866512039551988,-0.2900479140598773,20.875,14.4375,-11.75
49.5,2.13623046875,-0.244140625,1.708984375,-0.9487594225898008,-0.1180455946531571,-0.2316965239417706,21.125,13.6875,-13.0
50.0,-0.244140625,0.8544921875,4.0283203125,-0.945463423566393,-0.1663869136631366,-0.2617267372661519,21.5,13.0,-11.75
50.5,0.42724609375,0.91552734375,0.48828125,-0.9372844630268258,-0.1652882473220008,-0.2855311746574297,21.875,13.6875,-13.375
51.0,0.8544921875,0.6103515625,2.13623046875,-0.9366740928373058,-0.1724906155583361,-0.2949308755760368,22.9375,12.5625,-9.1875
51.5,2.50244140625,-0.30517578125,-2.9296875,-0.9714651936399428,-0.075319681386761,-0.2419507431257057,21.875,13.0,-12.5
52.0,-2.99072265625,2.99072265625,-2.50244140625,-0.954985198522904,-0.075930051576281,-0.2480544450209051,22.1875,13.375,-8.3125
52.5,-5.0048828125,-4.57763671875,7.080078125,-0.957060457167272,-0.1198767052217169,-0.2153386028626361,22.9375,14.0625,-12.125
53.0,3.5400390625,0.3662109375,0.48828125,-0.9819635608996856,-0.0532242805261391,-0.2025208288827173,21.125,13.0,-13.0
53.5,-7.32421875,2.62451171875,-1.77001953125,-0.956450086977752,-0.1170690023499252,-0.2779625843073824,22.1875,14.0625,-13.0
54.0,1.15966796875,-0.30517578125,1.8310546875,-0.9553514206366162,-0.1199987792596209,-0.2562334055604724,22.1875,13.0,-15.0625
54.5,-0.3662109375,0.18310546875,-0.30517578125,-0.9471724600970488,-0.1219519638660847,-0.2661214026306955,22.1875,14.4375,-12.125
55.0,-0.06103515625,-0.06103515625,-0.06103515625,-0.9536423841059604,-0.1241492965483565,-0.2645344401379436,22.1875,13.0,-10.875
55.5,0.6103515625,-0.18310546875,-0.1220703125,-0.9498580889309366,-0.1290322580645161,-0.2736899929807428,21.5,12.5625,-12.125
56.0,0.0,0.42724609375,0.244140625,-0.9518112735374004,-0.1257362590411084,-0.2653889584032716,22.1875,12.5625,-13.375
56.5,-0.3662109375,-1.40380859375,1.46484375,-0.9497360148930326,-0.1311075167088839,-0.2473220007934812,22.5625,14.8125,-9.5625
57.0,0.18310546875,0.3662109375,-0.18310546875,-0.9521774956511124,-0.1261024811548204,-0.2635578478347117,22.1875,13.6875,-10.875
57.5,0.0,0.1220703125,0.18310546875,-0.9516891994994964,-0.118655964842677,-0.2667317728202155,21.125,14.0625,-14.6875
58.0,0.42724609375,-0.1220703125,0.30517578125,-0.9497360148930326,-0.119144260994293,-0.2638019959105197,22.1875,13.375,-10.875
58.5,-0.18310546875,0.0,-0.1220703125,-0.9486373485518969,-0.1197546311838129,-0.2661214026306955,23.25,14.0625,-13.375
59.0,-0.06103515625,-0.30517578125,-0.48828125,-0.9509567552720724,-0.1292764061403241,-0.2644123661000396,21.875,14.0625,-11.25
59.5,0.0,0.1220703125,0.06103515625,-0.9491256447035128,-0.1268349253822443,-0.2613605151524399,22.1875,14.8125,-11.75
60.0,-0.06103515625,0.30517578125,0.30517578125,-0.9494918668172246,-0.1232947782830286,-0.2670979949339274,22.1875,13.6875,-13.0
60.5,-0.06103515625,0.18310546875,0.42724609375,-0.9477828302865688,-0.1201208532975249,-0.2670979949339274,23.9375,12.5625,-10.875
61.0,-0.1220703125,-0.06103515625,0.06103515625,-0.9505905331583604,-0.1246375926999725,-0.2629474776451918,22.5625,13.375,-11.25
61.5,0.0,-0.06103515625,0.18310546875,-0.9518112735374004,-0.1243934446241645,-0.2670979949339274,22.5625,13.0,-10.875
62.0,0.244140625,0.0,0.18310546875,-0.9504684591204564,-0.1228064821314127,-0.2673421430097354,21.5,13.6875,-12.5
62.5,-0.48828125,0.06103515625,0.18310546875,-0.955107272560808,-0.1217078157902768,-0.2589190343943602,23.25,13.6875,-8.3125
63.0,0.1220703125,0.3662109375,0.1220703125,-0.9508346812341684,-0.1242713705862605,-0.2578203680532243,23.25,13.0,-11.75
63.5,0.06103515625,0.18310546875,0.1220703125,-0.9504684591204564,-0.1251258888515884,-0.2695394756920072,22.1875,13.6875,-14.6875
64.0,0.0,0.06103515625,0.06103515625,-0.9507126071962644,-0.1231727042451246,-0.2659993285927915,21.5,13.6875,-12.125
64.5,-0.244140625,0.06103515625,0.18310546875,-0.9492477187414168,-0.1263466292306283,-0.2672200689718314,22.1875,13.0,-13.8125
65.0,-0.244140625,-0.18310546875,0.48828125,-0.9480269783623768,-0.1204870754112369,-0.2684408093508713,22.9375,14.8125,-9.5625
65.5,-0.244140625,0.0,0.1220703125,-0.9514450514236884,-0.1237830744346446,-0.2642902920621356,22.5625,13.6875,-10.0
66.0,0.18310546875,-0.06103515625,-0.1220703125,-0.9486373485518969,-0.1242713705862605,-0.2581865901669362,23.25,13.0,-13.0
66.5,0.18310546875,0.0,-0.1220703125,-0.9496139408551286,-0.1239051484725486,-0.2690511795403912,23.25,13.0,-11.75
67.0,0.18310546875,0.18310546875,0.18310546875,-0.9483932004760888,-0.1239051484725486,-0.2710043641468551,22.1875,13.0,-14.25
67.5,0.0,0.0,0.18310546875,-0.9474166081728568,-0.1220740379039887,-0.2647785882137516,20.875,12.5625,-13.8125
68.0,-0.1220703125,-0.1220703125,0.1220703125,-0.9530320139164404,-0.1256141850032044,-0.2670979949339274,22.1875,13.375,-7.4375
68.5,0.30517578125,-0.244140625,0.0,-0.9526657918027284,-0.1239051484725486,-0.2668538468581194,22.9375,15.1875,-15.0625
69.0,0.0,-0.244140625,0.18310546875,-0.9531540879543444,-0.1235389263588366,-0.2673421430097354,23.25,13.0,-12.5
69.5,0.30517578125,-0.1220703125,0.0,-0.9513229773857844,-0.1311075167088839,-0.2616046632282479,21.875,14.0625,-10.875
70.0,-0.6103515625,0.06103515625,0.30517578125,-0.9536423841059604,-0.1282998138370921,-0.2657551805169835,21.125,12.1875,-14.6875
70.5,-0.1220703125,-0.1220703125,0.0,-0.9497360148930326,-0.1268349253822443,-0.2684408093508713,22.9375,15.5625,-13.0
71.0,-0.1220703125,0.0,0.18310546875,-0.9496139408551286,-0.1285439619129001,-0.2673421430097354,20.5,12.1875,-10.875
71.5,-0.42724609375,-0.54931640625,-0.6103515625,-0.9529099398785364,-0.1270790734580523,-0.2647785882137516,22.5625,13.6875,-13.0
72.0,-0.42724609375,-0.06103515625,0.42724609375,-0.954618976409192,-0.1252479628894924,-0.2630695516830958,21.5,13.375,-14.25
72.5,-0.06103515625,0.67138671875,0.0,-0.9503463850825524,-0.1276894436475722,-0.2617267372661519,22.1875,15.1875,-13.0
73.0,-0.244140625,0.48828125,0.244140625,-0.9505905331583604,-0.129398480178228,-0.2696615497299112,22.1875,13.375,-10.875
73.5,0.18310546875,0.30517578125,0.79345703125,-0.9498580889309366,-0.130008850367748,-0.2663655507065035,22.9375,13.6875,-10.875
74.0,0.0,-0.18310546875,-0.06103515625,-0.9514450514236884,-0.1263466292306283,-0.2669759208960234,23.25,14.0625,-12.125
74.5,-0.244140625,0.244140625,0.18310546875,-0.9514450514236884,-0.1241492965483565,-0.2627033295693838,21.875,13.0,-12.125
75.0,0.30517578125,-0.18310546875,0.18310546875,-0.9496139408551286,-0.1241492965483565,-0.2700277718436231,22.5625,14.4375,-11.25
75.5,0.30517578125,0.06103515625,0.244140625,-0.9519333475753043,-0.1285439619129001,-0.2673421430097354,22.1875,13.6875,-12.625
76.0,-0.244140625,0.30517578125,0.1220703125,-0.9530320139164404,-0.1275673696096682,-0.2679525131992553,23.625,11.4375,-11.25
76.5,0.732421875,0.18310546875,0.3662109375,-0.9487594225898008,-0.1220740379039887,-0.2725913266396069,21.9375,14.4375,-11.25
77.0,0.8544921875,-0.1220703125,0.30517578125,-0.9522995696890164,-0.1263466292306283,-0.2677083651234473,21.875,14.4375,-13.375
77.5,-1.03759765625,-0.48828125,-0.48828125,-0.9503463850825524,-0.1270790734580523,-0.2642902920621356,20.5,14.0625,-13.0
78.0,-0.06103515625,0.18310546875,0.30517578125,-0.9510788293099764,-0.1219519638660847,-0.2640461439863277,23.25,13.6875,-10.4375
78.5,0.3662109375,-0.18310546875,0.30517578125,-0.9514450514236884,-0.1242713705862605,-0.2624591814935758,22.9375,13.6875,-13.8125
79.0,-0.244140625,0.1220703125,0.18310546875,-0.9510788293099764,-0.1248817407757805,-0.2634357737968077,22.9375,14.0625,-13.8125
79.5,0.67138671875,-0.06103515625,0.0,-0.9470503860591448,-0.1226844080935087,-0.2690511795403912,22.1875,13.375,-8.3125
80.0,0.06103515625,0.0,0.1220703125,-0.9486373485518969,-0.1250038148136845,-0.2686849574266793,22.9375,12.5625,-15.5
80.5,0.30517578125,-0.06103515625,0.1220703125,-0.9530320139164404,-0.1274452955717642,-0.2625812555314798,23.9375,10.6875,-13.0
81.0,-0.1220703125,-0.06103515625,0.1220703125,-0.9505905331583604,-0.1270790734580523,-0.2652668843653676,22.5625,12.5625,-13.375
81.5,-0.06103515625,-0.18310546875,0.06103515625,-0.9481490524002808,-0.1264687032685323,-0.2667317728202155,22.9375,13.375,-10.875
